"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","Mi reconocimiento a los Artesanos del Ecuador, sector vital, y a veces desatendido, puntal del desarrollo de nuestr… https://t.co/bAPlRDTZs3",FALSE,262,NA,2019-11-05 20:39:43,TRUE,NA,"1191817392592162817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",91,FALSE,FALSE,NA,NA
"19","Valga la celebración del día del Escudo Nacional para insistir en que materias como la ética, la lógica y la cívica… https://t.co/NJfhky6uCA",FALSE,671,NA,2019-10-31 17:36:04,TRUE,NA,"1189959236169670657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",169,FALSE,FALSE,NA,NA
"20","¡No más impuestos! https://t.co/o0gtPVCZ3I",FALSE,722,NA,2019-10-28 01:00:21,FALSE,NA,"1188621489995689985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",400,FALSE,FALSE,NA,NA
"21","¡Ha llegado el momento que tanto esperábamos!<U+0001F603><U+2764><U+FE0F>
TELETÓN ECUADOR renueva su imagen, pero SIEMPRE con el mismo objet… https://t.co/QVt8m3ZlPd",FALSE,787,NA,2019-10-25 01:28:32,TRUE,NA,"1187541419650699264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",205,FALSE,FALSE,NA,NA
"22","El pueblo de Quito tiene pleno derecho a su seguridad y el Gobierno la obligación de dársela. https://t.co/XEiRkhk1z3",FALSE,1887,NA,2019-10-12 23:04:10,FALSE,NA,"1183156432599994368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",691,FALSE,FALSE,NA,NA
"23","Los indígenas y Nebot: la verdad, sin odio ni sectarismo. https://t.co/hUMkZHAMtL",FALSE,3532,NA,2019-10-10 01:59:09,FALSE,NA,"1182113305458085892",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",1465,FALSE,FALSE,NA,NA
"24","En vivo #9deOctubre https://t.co/BLa5RLRfNE",FALSE,268,NA,2019-10-09 21:01:03,FALSE,NA,"1182038286606491648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",70,FALSE,FALSE,NA,NA
"25","[EnVivo] https://t.co/MP6MrijZfg",FALSE,183,NA,2019-10-08 21:24:27,FALSE,NA,"1181681787577212933",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",84,FALSE,FALSE,NA,NA
"26","Jaime Nebot comunica: https://t.co/BmK5x6QxWw",FALSE,2088,NA,2019-10-08 17:57:14,FALSE,NA,"1181629641850785801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",1209,FALSE,FALSE,NA,NA
"27","https://t.co/h640JbBfWZ",FALSE,1957,NA,2019-10-08 15:26:05,FALSE,NA,"1181591601845592064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",1015,FALSE,FALSE,NA,NA
